PROBLEM,BB_LOWER_BOUND,BB_UPPER_BOUND,BB_CTIME,HRKGA_MIN_LENGTH,HRKGA_MEAN_LENGTH,HRKGA_MIN_CTIME,HRKGA_MEAN_CTIME,GSOA_MIN_LENGTH,GSOA_MEAN_LENGTH,GSOA_MIN_CTIME,GSOA_MEAN_CTIME,CENTROID_MIN_LENGTH,CENTROID_MEAN_LENGTH,CENTROID_MIN_CTIME,CENTROID_MEAN_CTIME
3D_45_25_c,2293.5873586078665,3686.2321491539305,36668.061698,,,,,3484.0,3571.6740000000004,68.0,69.42,3454.33,3454.33,2.0,2.0
3D_45_25_d,2381.478000754932,3599.924771020028,36077.249522,,,,,3500.27,3568.080999999999,69.0,70.32,3462.16,3462.16,0.0,0.0
3D_45_25_e,2673.6594217914408,3626.5270063596736,36011.329919,,,,,3507.01,3610.790199999999,70.0,71.48,3491.97,3491.97,0.0,0.0
3D_45_25_f,2359.5112382024145,3262.56454671513,36323.772017,,,,,3186.61,3198.984000000001,71.0,72.36,3131.7,3131.7,1.0,1.0
3D_35_25_b,2591.7658840943523,3990.772533903119,36089.539013,,,,,3750.65,3882.686200000001,62.0,64.02,3745.71,3745.71,0.0,0.0
3D_35_25_a,2168.0379161596293,3746.6623101703226,36037.109487,,,,,3588.5,3602.552399999999,73.0,73.9,3569.19,3569.19,0.0,0.0
3D_35_25_f,2330.304494802587,3622.3147866588047,36001.661035,,,,,3458.23,3532.9345999999996,73.0,73.7,3411.32,3411.32,0.0,0.0
3D_30_25_f,2171.466643733321,3451.920452876477,36036.633141,,,,,3300.3,3340.809800000001,69.0,69.6,3274.99,3274.99,1.0,1.0
3D_30_25_e,2222.9594815756886,3356.557662934388,36150.002728,,,,,3209.71,3246.6776,67.0,69.04,3202.25,3202.25,2.0,2.0
3D_30_25_d,2382.0922714166954,3203.484266020123,36149.932924,,,,,3131.69,3245.366400000001,67.0,69.26,3115.17,3115.17,1.0,1.0
3D_30_25_c,2625.6735977593844,3575.645358171396,36106.030198,,,,,3471.7,3532.9808000000003,87.0,88.8,3467.03,3467.03,2.0,2.0
